id,sta,nd_id,lng,lat
14,great world city 1,203,103.832026999999997,1.294466000000000
26,springleaf tower,240,103.846561781429003,1.275117825014000
29,clark quay central,350,103.847578044189007,1.289575016401000
35,the autobus 2,501,103.848923550354996,1.277472681427000
34,riverwalk apartments,670,103.848886453825997,1.288580729059000
18,parking at front car porch,809,103.839928643994995,1.291678747946000
21,singapore repertory theatre,856,103.841944700268002,1.291585869165000
16,kith cafe,860,103.838150276126001,1.289827583625000
43,populous hotel,1013,103.855726021953998,1.296701075946000
50,gardens by the bay,1056,103.866028000000000,1.284198000000000
48,marina square,1107,103.857620939949996,1.290724789920000
44,esplanade outdoor theatre,1170,103.856200000000001,1.289200000000000
31,the autobus,1311,103.848078390474001,1.276292952728000
15,rivergate apartments,1563,103.837167340147005,1.291130551102000
23,park regis,1589,103.844762323618994,1.287996942610000
41,mbfc 3,1658,103.854458318135997,1.278650856570000
28,the hive new bridge road,1663,103.846919947104993,1.287854082007000
47,mbs station 1,1770,103.857399658895005,1.282003028479000
40,esplanade,1784,103.854449764383006,1.289036213329000
46,south beach tower,1805,103.857019105115995,1.295435262630000
20,butternut tree hotel,1993,103.841792999999996,1.280585000000000
37,smu 2,2140,103.849648999999999,1.297677000000000
27,telok ayer st,2171,103.846849665283997,1.279815691144000
42,mbfc 1&2,2218,103.855044754229993,1.280062373339000
25,pickering,2253,103.845249617042001,1.286059081513000
32,ymca,2339,103.848549156483003,1.297429114962000
51,satay by the bay,2417,103.869052997278004,1.281898944447000
36,mccallum st,2425,103.849360233135002,1.278430458421000
22,chinatown visitor centre,2631,103.843664323045004,1.281444113760000
39,ibis singapore on bencoolen,2820,103.852843641849006,1.301286537873000
45,makansutra,3284,103.856978999999995,1.289686821646000
30,one george street,3356,103.848113546994000,1.286142099754000
24,furama city centre,3527,103.844844283833993,1.286642738408000
13,great world city 2,3568,103.831496000000001,1.293459000000000
17,seng kee building carpark,3592,103.838761086629006,1.291293165038000
38,hotel mi,3601,103.850253632744000,1.299021454277000
49,mbs station 2,3660,103.860184000000004,1.286369000000000
19,holiday inn express,3663,103.841822265640999,1.288544920427000
33,smu 1,3678,103.848920000000007,1.298227000000000
